obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
QQ,19,6.756547302599925e-6,0.5858088108722469,0.44199599789242217,57
DD,5,0.18691853012566179,0.25816947838487514,0.20372388763987104,60
TD,1,0.07271027222222214,3.0845175457035485,0.9979611741620156,60
FI,6,0.060272625349326564,1.04653410536623,0.7046854928569012,60
QQ,9,0.000020971019345238105,1.1396021116599382,0.7455478947962527,32
QQ,8,0.000018979042238364278,1.4439175986639594,0.8512378443823982,59
DD,27,0.3094554466182998,0.7184117898380716,0.5274965805394449,54
RH,6,0.15753472047558953,0.4371266677320325,0.33798051179277333,60
QQ,10,-0.000035040306122448994,2.2900729990967763,0.977982914705581,21
FI,30,0.008439072285353654,0.08879223056952215,0.0707529675901114,60
DD,2,0.07802936919191875,0.48197832226299925,0.37017865418976803,60
QQ,17,0.00003099158730158731,1.4416449087458572,0.8505974274622483,60
DD,10,-1.0711723310657595,2.3587339932589777,0.981662604987859,21
QQ,1,1.033333333333343e-6,0.40506345311499636,0.31456913026927125,60
DD,24,0.03458989154040412,0.18135417824000202,0.14391041710510877,60
FF,18,-0.020062181489898984,0.31714256306532757,0.24886457012045948,60
RH,5,-0.15476630661375665,0.48355387103613084,0.3712974810106603,60
TD,11,0.0692144066798941,1.4008132981303771,0.8387300890410445,60
RH,30,0.6299895201430974,1.807999014721963,0.9293933460722423,60
QQ,27,1.16261557372668e-6,0.15549122147776254,0.12356592597939808,54
QQ,13,3.6638888888889214e-6,1.2561829542750285,0.7909503545902317,60
TT,22,0.01722192517006803,0.9557915375391483,0.6608224354078774,21
TD,27,0.0194498460865267,0.5705017587786751,0.43166257043435285,54
FF,3,-0.0030304866515686044,0.10956343578558486,0.08724438995722716,54
TT,12,0.0004990335437710371,0.1053738459755052,0.08392083160489006,60
FF,23,0.005807233994708916,0.40480902937200514,0.31438210885561224,60
RH,9,0.3248643118551588,1.4064112581130706,0.8403979608418987,32
QQ,15,-2.924192988081874e-6,0.3018745695177839,0.2372523175025374,54
DD,22,-0.9405547936507934,0.7192627635045123,0.5280209656202459,21
FF,11,0.03143370737433866,1.368623743379396,0.8288830817984314,60
RH,7,-0.1381277115737573,0.3697388259543294,0.2884229002969372,57
QQ,30,0.00004311007575757576,1.7307106438712678,0.9164966141091591,60
FI,8,-0.039754808091202236,0.7515644423243193,0.5476869665961531,59
RH,27,-0.00635781793730922,0.03508822915895221,0.027990612595772735,54
QQ,18,5.275193602693603e-6,0.26778324235999934,0.21113382954086224,60
RH,15,-0.1024924443836512,0.617119683478859,0.46284421346796034,54
QQ,14,-2.2234848484849644e-7,0.0543430579345653,0.043338155055337224,60
FF,5,0.019225215972222202,0.37950009235272475,0.2956834642897421,60
RH,24,0.021477745664983356,0.22442500196300486,0.17757338194614092,60
FF,16,-0.0404741988775114,0.7369316560931011,0.538836087991829,26
FI,5,0.09572568607804242,2.1316315845377196,0.9669628548678242,60
TD,3,0.02149637350489011,0.7633609989301683,0.5547518673261693,54
TD,13,0.01768106944444437,1.2885883919748569,0.8024587788974439,60
TD,17,0.08482447285052906,1.1615104577058983,0.7545656271669015,60
FF,15,0.026613911237373732,1.1116894009923157,0.7337282814831242,54
QQ,23,-9.525363756613756e-6,1.5141319451832658,0.870007622069888,60
RH,11,0.17049392185846593,1.3421539981481303,0.8204539314395375,60
RH,22,0.18617980045351465,0.29995478787155716,0.23578835743423499,21
RH,12,0.06506508388047152,0.7692374904033564,0.5582476618548494,60
TD,0,-0.01172068644781133,0.26889739187376477,0.21199135593712304,60
TT,2,0.00818247752525254,2.1411643789822503,0.9677392155076885,60
FF,17,-0.01680846041666668,0.22647592540681175,0.1791687184326738,60
FF,2,0.005724687121212143,0.578638947346785,0.4371671808007549,60
DD,8,0.42345876916195874,0.7694812514949774,0.5583923296923092,59
TT,6,0.008139249608585858,0.48512487342326477,0.37241223097626364,60
TD,7,-0.013948305925166415,0.18198335413741537,0.14440421075879395,57
DD,36,-0.0033573388047141903,0.014641671801724978,0.011681946480317063,60
QQ,4,0.00001787300477300476,0.8524469816488023,0.6060339463883635,26
RH,20,-0.42169918411353235,1.392178678408344,0.8361317023525081,59
FF,12,0.02434709515993283,2.0415948275184497,0.9588082611842208,60
TT,36,0.0017445894360269794,0.40477003055183847,0.31435343995998355,60
TT,15,0.004523698300464962,0.6090345014154361,0.45749842954654096,54
FF,6,0.019205889053030296,0.36754812964152145,0.2867898021538525,60
FF,22,0.018901739229024928,0.18944480565544675,0.15025578962600283,21
DD,6,0.6089025557070707,1.1339800308460921,0.7431970754875039,60
TT,5,-0.005772362334656093,0.4123613412731022,0.3199254059613248,60
RH,23,-0.24781160119047604,1.6167624667952274,0.8940704358699464,60
RH,0,-0.21865625782828318,2.6957922695132197,0.9929778556357629,60
FI,36,-0.005219573695286102,0.1441302282612431,0.1146023647745611,60
DD,19,-1.2789337581871347,2.056903518184123,0.9603044924946164,57
FF,30,-0.06443316872474748,0.813339099202244,0.5839763342701935,60
FF,13,-0.006850511111111091,1.0455431425320527,0.7042279881009942,60
FI,22,0.18522353968253963,2.111152131256978,0.9652407622126609,21
TD,4,0.16087387544400045,1.6121976830066929,0.893081070680075,26
FI,18,-0.061718653257575605,0.528360226552911,0.40275066249395586,60
QQ,21,-6.157490079365079e-7,0.047253185008841715,0.03768856067712545,32
DD,15,0.31047233730158724,0.9776962412706578,0.6717754186536453,54
RH,14,-0.0689149960858594,0.9383864430044069,0.6519541495866765,60
FI,20,-0.09711469671778289,1.3660808237773259,0.8280864035471562,59
TT,3,0.00001609679333010882,0.0024430317471343006,0.0019492553735989127,54
RH,21,-0.13920424425843234,0.5488932192513565,0.4169212681667086,32
TD,18,-0.006570504528619568,0.10852051710404895,0.08641719367255574,60
TD,21,0.04155222471478163,0.9529336657627223,0.6593763186831159,32
FI,23,0.03434538078703695,1.0212602260548742,0.6928688348518783,60
DD,7,-0.4548103996379835,1.063327910537315,0.7123667278187721,57
DD,0,-0.391084748063973,3.0356576186691493,0.9975998826175297,60
TT,0,-0.015415236868686864,4.2741044903419665,0.9999808092971906,60
DD,30,1.0794301150547136,1.4041481854885793,0.839725272560674,60
DD,21,0.34024591501736146,0.4644196641747244,0.35765289573030046,32
DD,33,-0.6868745960317459,0.5675285175161014,0.42964484273586523,32
TT,11,0.005008645271164034,0.7276895078027817,0.5331963254601523,60
QQ,2,1.2300505050505092e-6,0.33685713532522393,0.26377540027552837,60
DD,23,-0.41882240720899416,1.268193768498782,0.7952712381622657,60
TD,10,-0.07417526303854882,0.6976392608869469,0.5145971779529535,21
FI,3,0.06354915535380143,1.5817164747233126,0.8862856899692354,54
FI,21,-0.06274571440972312,0.49330227440437885,0.3782009784311702,32
TT,20,0.0019038579566854948,0.09077060294098646,0.0723251309486097,59
DD,16,-0.5802213429834056,1.3919089073702624,0.8360500158090398,26
FI,17,-0.10169390625000005,0.897141045398879,0.630356341012138,60
FF,33,-0.041092772916666596,0.4756293055373547,0.36566150646064666,32
TD,36,0.044777167929293066,2.3223846490008513,0.979787766804961,60
TT,33,-0.014648497445436528,0.8228000579751493,0.5893782962878046,32
FI,11,0.004477207208994782,0.17325798563042377,0.13755135320078782,60
RH,4,0.5037148117854369,1.2152004525315223,0.7757103521128227,26
FI,10,-0.05780409523809519,1.0041291931202694,0.6846836541928665,21
FI,7,0.03312531548821537,0.5904183027191846,0.44508975706719744,57
QQ,20,-0.000019378685768092553,1.034512695014108,0.6991034549384645,59
TT,21,-0.0007540779761904936,0.05474227521557762,0.04365621091354788,32
FI,19,-0.10382853833447228,1.4968457583156423,0.8655666032691255,57
FF,14,-0.0014969034090909143,0.12769079815427897,0.10160632751262488,60
TT,23,-0.009567424007936512,1.3643225263083825,0.8275339207897927,60
FF,19,-0.046864720529227175,0.9981150686992772,0.6817764360388265,57
DD,1,0.16409496944444443,1.1451698630578329,0.747861200270582,60
DD,18,1.4246925681734013,1.5296901534965524,0.8739065579560193,60
QQ,5,3.2381944444444525e-6,0.1902865677561435,0.15091542126928847,60
TT,14,-0.001561265909090903,0.3983892016856025,0.3096566835933946,60
FI,15,-0.02247582541820495,0.6235945512267678,0.46710611009407543,54
FF,0,-0.03376787251683507,3.798655134084308,0.9998545166434963,60
FF,20,-0.03991951380817864,0.7171699240463992,0.5267307453743072,59
