obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
FI,9,0.11473227323412752,0.7039019160263115,0.5185061418296577,20
RH,36,0.00006723803827710533,0.0007273183151625048,0.0005803160032935573,38
RH,30,0.07750370766879293,0.22396803695368256,0.177217825711509,38
TT,2,-0.018673771929824546,3.7242033290298178,0.999804067032093,38
FF,13,0.013482304824561475,1.0272006609269204,0.6956740130347498,38
RH,12,0.11167390610047882,0.8235537121408205,0.5898068140307332,38
DD,36,-0.05116261463317279,0.15097822043939302,0.12000710348651322,38
TD,7,0.003093743736234522,0.07561661891520993,0.060275885662927964,38
DD,7,-1.6901774413609785,1.9272903799855945,0.9460565481921729,38
TD,23,-0.020787888993316673,0.4827962146077444,0.370759561150529,38
TD,36,-0.016238025917065357,0.7298412370675748,0.5345127651671171,38
RH,20,0.197566593974519,0.48618242657666694,0.37316217011192687,38
QQ,13,3.3442982456140178e-6,0.8336822314258882,0.5955399265051114,38
TD,1,0.012294350877193,0.37195479944764387,0.29007349656787207,38
TD,3,0.018063697869568778,0.4151582002515358,0.3219739038705204,36
FI,33,0.27000372146636337,2.2870023233927066,0.9778043125184978,21
QQ,15,0.000016310322470739142,1.172706589276985,0.7590865118869407,36
DD,6,-0.9134139685805422,1.8466319278185082,0.9351994964174705,38
FF,18,-0.058981916360978194,0.7803477890298466,0.5648138091818107,38
QQ,30,7.9551236044657e-6,0.3043266117622696,0.23912092720986133,38
FF,2,0.007720949162679443,0.6307062530847581,0.4717673902955578,38
FI,2,0.021503346889952462,0.7112394618100893,0.5230641412884851,38
TD,33,-0.1320660666855631,0.7831380076237309,0.5664539260222885,21
TD,12,0.04648097308612435,1.7431608639820966,0.9186944805049272,38
RH,0,-0.6826868606459333,7.178618024763845,0.9999999999992958,38
DD,2,0.23143661064593354,1.1646987228679728,0.7558590338606603,38
TD,4,-0.03782960423430744,0.4205691803125212,0.32593029722956146,16
TD,22,-0.13498015873015895,1.8212636918260354,0.9314332171898324,12
FI,23,-0.02149877281746036,0.37766199276168133,0.29431829433371903,38
