obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
GX,22,-0.0012356842105263567,0.1472058758316924,0.11703047711776016,38
RH,6,0.22457494736842118,4.026668953044365,0.999943427406264,38
PE12,20,0.16302413157894743,1.5526692883451199,0.8794978369490806,38
SPS,10,-0.003744868421052641,1.9716747389676703,0.9513532508505798,38
TD,20,0.03515110526315789,4.179299426519926,0.9999707591517785,38
TDD,2,0.08208097368421055,4.318799896327717,0.9999843120060268,38
FF,11,0.003986289473684226,0.8675229162023542,0.6143444387728692,38
SPS,11,-0.0033731052631579216,1.6864418380917865,0.9082892712555357,38
QQ,2,0.00006697368421052635,6.456014656419419,0.9999999998925038,38
DD,5,0.5494811052631581,2.571797292550117,0.989882789021227,38
VI,15,-1.1784285263157999,0.007863905101944424,0.006274423798949713,38
PE3,27,-0.06401102631578946,0.8429899659349437,0.6007659443908335,38
RH,23,0.02390065789473686,0.4804751975848625,0.36911046481932963,38
PE6,22,0.08022402631578947,0.5010772910279717,0.38368327177784733,38
GX,8,0.016405052631578945,1.7284202739453518,0.9160870967196958,38
SPS,30,0.008226184210526174,2.5881149530617673,0.9903497229964776,38
TN,12,0.005988605263157873,0.5673623239846343,0.42953195831678004,38
PE3,30,0.04303149999999997,0.4880064651633101,0.37445473830732356,38
GX,19,0.015138894736842115,1.8945911344390707,0.9418534097624129,38
TX,13,0.020473026315789435,2.056271738328372,0.960243669168497,38
NN,11,0.01775136842105266,0.9136143377521758,0.6390804701495079,38
SPS,8,-0.0013116578947367508,0.5481045166811302,0.4163798605723368,38
DD,7,0.370593815789473,1.4526361057464392,0.8536751842347773,38
LC,14,0.03932844736842105,1.2345720346056364,0.783010177775916,38
PS,21,0.004836500000000013,0.9184192571485245,0.6416005872610656,38
NN,36,0.00894376315789469,0.5326941876353652,0.4057547097047358,38
PE6,11,0.2386954473684211,1.5262936560687101,0.8730632521345703,38
RH,4,0.20099763157894723,3.2177333153991063,0.9987079210760763,38
TN,0,-0.013262078947368439,1.5477055576184382,0.8783067965796281,38
PE12,16,0.28727071052631575,2.3136975354517766,0.9793156808148311,38
FF,16,0.01263852631578948,2.4060116681633104,0.9838722504039333,38
TDD,6,0.05446497368421053,3.8010572994948353,0.999855920024192,38
PE3,12,0.05735605263157894,1.2026887493294025,0.7709032107499041,38
LC,18,0.03448239473684211,1.9866352287739553,0.9530371656802586,38
VI,8,21.665345368420994,0.10607328808700478,0.08447579542609152,38
QQ,16,0.000027315789473684206,3.7977911813544813,0.9998540087697823,38
PS,18,0.00943768421052633,1.9609938139461778,0.950120255477418,38
FF,9,0.004454842105263181,0.9646438954056875,0.6652767945996396,38
FF,21,0.008373842105263164,1.7249805553515365,0.9154690232050456,38
DD,1,0.23445034210526217,1.2965283816084996,0.805206491506968,38
TT,16,0.023536578947368422,2.3807859599330836,0.9827242533767011,38
TN,6,-0.01015505263157895,1.3899471508834176,0.8354550738078551,38
QQ,11,0.00005173684210526314,6.259190833081459,0.9999999996130199,38
TDD,30,0.013382842105263117,1.1155100908852325,0.7353681033248972,38
PE12,36,0.07887621052631587,0.80207465578598,0.5774902255242751,38
PE12,17,0.26628789473684217,2.2446150703143393,0.9752071455499681,38
TX,16,0.01981813157894734,1.887599025626476,0.9409201989988654,38
LC,20,0.029200342105263132,1.5678341608983808,0.8830801597128357,38
