obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
amsua_tb,15,0.0002736153186375784,0.6535766819944653,0.48661542881012587,13
temp_q,12,0.00002473385096959235,3.0375904417653374,0.9976152217023407,25
atms_tb,15,0.03367192350819114,2.7947341378426924,0.994805758771228,22
temp_t,18,0.011528906979892962,0.5249041768291359,0.40035019432607744,13
airep_t,21,0.0007096703920778444,0.12575218022883197,0.10007190417446021,26
temp_v,18,0.14225279684762027,1.3913685679059054,0.8358863090045323,13
temp_q,21,0.00014966237662922326,2.837958915076269,0.9954596973620939,2
mwhs2_tb,6,0.009885132502417912,0.8627067819919709,0.6117012973877447,26
amsua_tb,12,0.017081530605629718,16.404008683079365,1.0,13
amsua_tb,6,0.0101010708739231,4.921736374844989,0.9999991422028606,23
temp_t,15,-0.028833942891630514,1.3602135223788199,0.826237635362817,16
airep_v,6,0.07042608053158467,4.843368630044738,0.9999987234386551,26
mwhs2_tb,3,-0.024228608120540254,2.7404609073187354,0.9938646919923123,25
amsua_tb,21,0.025379157802108882,23.009294313053523,1.0,26
airep_u,9,0.025953433523138468,1.3319586845376323,0.8171262347037315,26
temp_u,24,0.024619387096665665,1.5042695919905655,0.867488034699601,25
atms_tb,21,0.04410103413314797,5.385521394136727,0.9999999277650582,13
atms_tb,3,0.016538417283967002,1.1709144114614325,0.7583668182703407,22
temp_q,3,-0.000050101048081060286,1.0845430729847552,0.7218759200900227,16
airep_u,6,0.052015140482276734,3.0908140453626958,0.9980039140171337,26
mhs_tb,6,0.015111183097122454,1.1874355004393748,0.7649441160161774,23
temp_v,21,-0.01705492347041899,0.20434784832775213,0.16191831880904606,10
atms_tb,9,0.020867017459563174,2.6832483357733756,0.99270891726552,13
temp_u,18,0.024520110579387744,0.2598075801108886,0.20498779638928855,13
amsua_tb,0,-0.009676673427321588,14.114165712135902,1.0,13
amsua_tb,24,0.019279467310226277,15.731500446347757,1.0,13
airep_v,15,-0.003357030256441549,0.15774850530456433,0.12534502273242665,25
atms_tb,6,0.00893713033322527,1.138821534644374,0.7452224020177157,13
airep_v,24,0.013213033707394253,0.5023104090742267,0.38455081165441707,25
amsua_tb,3,-0.0001927796852482169,0.21474614442453607,0.17003475628998355,13
temp_t,12,0.01073755863565689,1.9168036225747531,0.9447371154315038,25
mhs_tb,3,0.02690978345416171,0.9593659121848009,0.6626255587162433,13
temp_q,15,5.85890864269391e-6,0.13983366935731564,0.11120858966239,16
mhs_tb,9,0.03282035319273401,1.9325678335993082,0.9467105418283804,26
airep_v,3,0.01882111220486874,1.019539060138835,0.6920528807261167,25
airep_u,24,0.014745072335925782,0.5942720169487,0.44766980833420555,25
temp_u,6,-0.0008542782978206132,0.018645005170779105,0.014875699868187708,13
airep_u,18,0.03792234226051588,2.0543616443208688,0.9600592975244566,26
temp_q,0,-0.00015479927604147267,25.9564730814544,1.0,25
temp_q,6,0.00005256140421439232,0.9152872867178401,0.6399591685130128,13
mhs_tb,18,0.03880467561316483,1.1055970897456635,0.7310990499686646,23
mhs_tb,21,0.046464433964730364,2.002255899899015,0.9547427836258934,26
airep_u,12,0.0411563375235416,1.7122522072630038,0.9131497999146124,25
airep_t,24,0.0021847259545101937,0.38679435137279283,0.3010915406700234,25
temp_t,6,0.04284964729775328,1.2934803992955806,0.8041550410918219,13
airep_v,21,0.0019760941295471858,0.09623590912407508,0.0766667882003721,26
temp_u,15,0.08176730994095018,1.3542636020257004,0.824347705978513,16
amsua_tb,18,0.014852862277107115,6.420954148785265,0.9999999998645772,23
temp_u,9,0.05812878079512138,0.877726385320404,0.6199077779207205,10
temp_v,15,0.11041123476739505,1.546757472205182,0.878078261295264,16
temp_v,9,0.044562233007439736,0.678196925991872,0.5023531586378606,10
temp_u,12,0.022114701782373434,1.1555104909964322,0.7521185610057189,25
temp_t,21,0.009253651630580973,0.9592273375297079,0.6625557685687504,10
temp_q,18,-0.000048950334413478026,1.2288103184184866,0.7808570680852565,13
airep_v,0,-0.45845781986298273,21.242318190184786,1.0,25
mwhs2_tb,18,0.03942302369221236,3.5810714327560906,0.9996578119253355,26
mhs_tb,12,-0.00032100405707450404,0.009199882719280654,0.007340340837663661,13
airep_t,9,0.00783644979546914,2.2097065523398816,0.9728744652835313,26
temp_q,9,-0.00004289658557764936,6.328255755888975,0.9999999997520521,2
temp_t,24,0.004115559717672399,0.7726876302514845,0.560292730952234,25
airep_t,6,0.01067251492034709,2.3302745065586197,0.9802083527298427,26
airep_u,15,0.013301951228550345,0.622953470820503,0.46668490146020447,25
airep_t,12,0.015725452644902407,2.5195425842381494,0.9882492574433035,25
temp_t,9,-0.008277137827902325,0.6233941907808689,0.46697448548440645,10
temp_v,0,-0.2660209738159615,31.115961162094237,1.0,25
airep_v,18,-0.015073273700242406,0.8553782147633137,0.6076581999773387,26
atms_tb,24,0.028806292058839632,4.34516366083506,0.999986082813801,25
temp_v,12,0.025681409562284187,1.829151215127512,0.9326230416083032,25
temp_v,6,0.06863301099624698,1.3934279511566097,0.8365095817276224,13
temp_u,0,-0.2705959732004047,30.06455433665815,1.0,25
airep_u,21,-0.01370623356676028,0.5707333561363056,0.4318195957100116,26
mwhs2_tb,12,0.05881291538724787,4.352917700554987,0.9999865662409475,23
temp_t,0,-0.1471264337902702,38.808778186204094,1.0,25
amsua_tb,9,0.02495837834663396,30.15244147806041,1.0,26
airep_t,18,0.004075727864044672,0.9032000419388514,0.6335802643708623,26
airep_v,9,0.03675301156022991,2.3821744559462017,0.9827892581997303,26
mhs_tb,15,-0.0031842890359275325,0.12025158472968257,0.09571614449674737,13
airep_t,0,-0.15348816913585758,26.76473245008506,1.0,25
temp_v,3,0.04992550223696498,0.7472634671749778,0.5450954598869089,16
atms_tb,18,0.0074997379133341455,0.6495068832161105,0.4839892011652117,13
temp_u,3,-0.041730085096003844,0.31322860654557655,0.24589301372020012,16
mwhs2_tb,0,-0.11674397291760671,4.444828291084335,0.9999912037906634,23
atms_tb,12,0.03594391238355614,4.830551380370537,0.9999986384452768,25
airep_u,0,-0.4776169707160411,17.714833530617373,1.0,25
airep_v,12,0.03802208648336045,2.0950964117941044,0.9638375771422764,25
mwhs2_tb,24,0.05028836798278917,2.526222417466515,0.9884703538565707,23
airep_t,15,0.02269459497291697,3.0835344947935166,0.9979544260575026,25
mwhs2_tb,21,0.006932499916559045,0.44514758341144245,0.343786896341844,13
temp_u,21,-0.05010908116003656,0.7795928395718236,0.5643694280512179,10
temp_q,24,0.000010293887993744108,1.1932963666251708,0.7672466750370899,25
airep_u,3,0.032858315891242135,2.0043745059935683,0.9549700418582897,25
mhs_tb,0,-0.3399749647032811,14.719091000529442,1.0,13
airep_t,3,0.0006049801387804266,0.10567924823106405,0.0841631543501653,25
mwhs2_tb,9,0.035321741061760406,2.6843536733023905,0.9927329813647314,13
atms_tb,0,-0.0838266951493075,6.758482244588006,0.9999999999860555,25
temp_t,3,-0.023540164015966255,1.5319169501031873,0.8744570698161601,16
mhs_tb,24,0.031197830318896242,1.2009757173886328,0.7702393791601807,13
temp_v,24,0.02692794651209853,1.4689859551748543,0.8581634012973903,25
mwhs2_tb,15,0.0234178916917387,1.7488370980991865,0.9196808178793645,25
